image_id,filename,filepath,category,source_dataset,title,description,width,height,source_type,degradation_type,degradation_level,human_score,notes
CLO_028,CLO_028.jpg,dataset/originals/clothing/CLO_028.jpg,clothing,bootstrap_existing_dataset,CLO_028,CLO_028,1024,1024,original,,,,Recovered from existing dataset files.
CLO_029,CLO_029.jpg,dataset/originals/clothing/CLO_029.jpg,clothing,bootstrap_existing_dataset,CLO_029,CLO_029,2000,1500,original,,,,Recovered from existing dataset files.
CLO_030,CLO_030.jpg,dataset/originals/clothing/CLO_030.jpg,clothing,bootstrap_existing_dataset,CLO_030,CLO_030,800,1000,original,,,,Recovered from existing dataset files.
CLO_031,CLO_031.jpg,dataset/originals/clothing/CLO_031.jpg,clothing,bootstrap_existing_dataset,CLO_031,CLO_031,800,800,original,,,,Recovered from existing dataset files.
CLO_032,CLO_032.jpg,dataset/originals/clothing/CLO_032.jpg,clothing,bootstrap_existing_dataset,CLO_032,CLO_032,1000,1000,original,,,,Recovered from existing dataset files.
CLO_033,CLO_033.jpg,dataset/originals/clothing/CLO_033.jpg,clothing,bootstrap_existing_dataset,CLO_033,CLO_033,1200,1600,original,,,,Recovered from existing dataset files.
CLO_034,CLO_034.jpg,dataset/originals/clothing/CLO_034.jpg,clothing,bootstrap_existing_dataset,CLO_034,CLO_034,800,800,original,,,,Recovered from existing dataset files.
CLO_035,CLO_035.jpg,dataset/originals/clothing/CLO_035.jpg,clothing,bootstrap_existing_dataset,CLO_035,CLO_035,1000,1000,original,,,,Recovered from existing dataset files.
CLO_036,CLO_036.jpg,dataset/originals/clothing/CLO_036.jpg,clothing,bootstrap_existing_dataset,CLO_036,CLO_036,1024,1024,original,,,,Recovered from existing dataset files.
CLO_037,CLO_037.jpg,dataset/originals/clothing/CLO_037.jpg,clothing,bootstrap_existing_dataset,CLO_037,CLO_037,800,800,original,,,,Recovered from existing dataset files.
CLO_038,CLO_038.jpg,dataset/originals/clothing/CLO_038.jpg,clothing,bootstrap_existing_dataset,CLO_038,CLO_038,1200,1200,original,,,,Recovered from existing dataset files.
CLO_039,CLO_039.jpg,dataset/originals/clothing/CLO_039.jpg,clothing,bootstrap_existing_dataset,CLO_039,CLO_039,1000,1000,original,,,,Recovered from existing dataset files.
CLO_040,CLO_040.jpg,dataset/originals/clothing/CLO_040.jpg,clothing,bootstrap_existing_dataset,CLO_040,CLO_040,1000,1000,original,,,,Recovered from existing dataset files.
CLO_041,CLO_041.jpg,dataset/originals/clothing/CLO_041.jpg,clothing,bootstrap_existing_dataset,CLO_041,CLO_041,1001,1500,original,,,,Recovered from existing dataset files.
CLO_042,CLO_042.jpg,dataset/originals/clothing/CLO_042.jpg,clothing,bootstrap_existing_dataset,CLO_042,CLO_042,1000,1000,original,,,,Recovered from existing dataset files.
CLO_043,CLO_043.jpg,dataset/originals/clothing/CLO_043.jpg,clothing,bootstrap_existing_dataset,CLO_043,CLO_043,1000,1500,original,,,,Recovered from existing dataset files.
CLO_044,CLO_044.jpg,dataset/originals/clothing/CLO_044.jpg,clothing,bootstrap_existing_dataset,CLO_044,CLO_044,1000,1000,original,,,,Recovered from existing dataset files.
CLO_045,CLO_045.jpg,dataset/originals/clothing/CLO_045.jpg,clothing,Shopify/product-catalogue,"In My Pregnant Era 2 Sides Shirt, Pregnancy Sweatshirt, Gift for New Mom, Pregnant Women Tee, Baby Reveal Gift, Mother's Day Gift, Cute New Mom Tee","🔥 Welcome to Our Store! Explore our collection of T-Shirts, Hoodies, and Sweatshirts , designed for ultimate comfort and everyday style. ✨ Why You'll Love Our Products T-Shirts: 100% cotton – soft, breathable, and durable. Hoodies: 50% cotton, 50% polyester – cozy, warm, and stylish. Sweatshirts: 50% cotton, 50% polyester – perfect for layering with a minimalist look. Advanced Printing Technology: Our designs are printed directly on the fabric, ensuring long-lasting and fade-resistant prints. 🌈 Color Chart 📌 Check the color chart below to pick your favorite color: 📏 Size Chart 📌 Refer to the size chart below for the best fit: 🛒 How to Order Check the color and size chart above. Select your size and color from the menu. Add to cart and proceed to checkout. 🚚 Process and Shipping Production Time: 1–3 business days. USA Orders / Standard: 3–7 business days. USA Orders / Rush: 3–5 business days. International Orders: 1–2 weeks. ⚠️ Important Note No returns or exchanges for wrong size choices, as all products are made to order. Please double-check before purchasing. If there are any issues with the product, feel free to message us for assistance. 💖 Thank you for shopping with us!",800,800,original,,,,"Accepted (laplacian=403.00, contrast=98.68, area=0.119); source_category=Apparel & Accessories > Clothing > Maternity Clothing > Maternity Tops > T-Shirts"
CLO_046,CLO_046.jpg,dataset/originals/clothing/CLO_046.jpg,clothing,Shopify/product-catalogue,"Hudson Baby Mink with Faux Fur Lining Pool and Beach Robe Cover-ups, Peace Love Flowers","Hudson Baby pool and beach mink faux fur robe cover-up is made of super soft, cozy plush and faux fur material to dry and warm baby after bath or pool time. Our cozy fabric will be the perfect robe to wrap your baby in after post-water activities. Our detailed animal hood designs are sure to make bath time more fun and adventurous.",2000,2000,original,,,,"Accepted (laplacian=260.24, contrast=30.99, area=0.712); source_category=Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Swimwear > Swim Dresses"
CLO_047,CLO_047.jpg,dataset/originals/clothing/CLO_047.jpg,clothing,Shopify/product-catalogue,Dennys Money Pocket Apron,Dennys Money Pocket Apron,886,1024,original,,,,"Accepted (laplacian=177.08, contrast=106.43, area=0.448); source_category=Apparel & Accessories > Clothing > Uniforms > Food Service Uniforms"
CLO_048,CLO_048.jpg,dataset/originals/clothing/CLO_048.jpg,clothing,Shopify/product-catalogue,Unisex windbreaker,"Whether you’re hiking, camping, or just running errands, this casual, sporty windbreaker’s got you covered. It’s very lightweight, durable, and water-repellent. This unisex windbreaker has a zipped closure and elasticated cuffs for a snug fit and comfortable wear. It also has two zipped pockets to store your essentials while on the move. This classic windbreaker will keep you both fashionable and protected on all your adventures. • 100% polyamide • Fabric weight: 7.13 oz./yd.² (202 g/m²) • Regular fit • Hood with a drawstring, zipped closure, elastic cuffs and hem • 2 zipped pockets • This product’s fabric is OEKO-TEX Standard 100 certified and PETA-Approved Vegan This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!",2000,2000,original,,,,"Accepted (laplacian=120.43, contrast=111.04, area=0.864); source_category=Apparel & Accessories > Clothing > Outerwear > Coats & Jackets > Windbreakers"
CLO_049,CLO_049.jpg,dataset/originals/clothing/CLO_049.jpg,clothing,Shopify/product-catalogue,"250% Density Chocolate Brown Lace Front Wig Human Hair 13x4 Body Wave Lace Front Wigs with Baby Hair Colored Human Hair Wigs For Women HD Transparent Lace Front Wig(18 Inch,Chocolate Brown Wig)",Brand: FKFO Details: chocolate brown lace front wig light brown wig chocolate brown wig brunette wig long brown wig light brown human hair wig chocolate brown human hair wig brown lace front wig light brown wig human hair brown glueless wig brown 13x6 hd lace front wigs human hair chocolate wig brown wigs human hair chocolate brown wig human hair chestnut brown human hair wig light brown lace front wigs human hair long dark brown wig chocolate brown glueless wig human hair chocolate brown lace front wig human hair 13x6 chocolate brown hd lace frontal wig,1000,1000,original,,,,"Accepted (laplacian=423.28, contrast=59.90, area=1.000); source_category=Apparel & Accessories > Clothing Accessories > Hair Accessories > Wigs"
CLO_050,CLO_050.jpg,dataset/originals/clothing/CLO_050.jpg,clothing,Shopify/product-catalogue,Veste Bleu - 2 ans,Veste à rayures bleu et blanc.,1500,1500,original,,,,"Accepted (laplacian=1008.28, contrast=60.25, area=0.642); source_category=Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outerwear > Baby & Toddler Coats & Jackets > Sport Jackets"
CLO_051,CLO_051.jpg,dataset/originals/clothing/CLO_051.jpg,clothing,Shopify/product-catalogue,Black/Grey/Orange - Work-Guard lite trousers,"Part of our new and innovative LITE mix and match range the R318X trousers bring you the perfect solution on hot summer days. With water repellent protection, strong and durable lightweight fabrics and a functional yet stylish design, this member of our LITE family is the coolest choice when the going gets hot! Breathable. Windproof. Water-repellent fabric.",1200,1440,original,,,,"Accepted (laplacian=144.42, contrast=101.00, area=0.251); source_category=Apparel & Accessories > Clothing > Uniforms > Contractor Pants & Coveralls"
CLO_052,CLO_052.jpg,dataset/originals/clothing/CLO_052.jpg,clothing,Shopify/product-catalogue,OSH25WBCD19118TM1,Town Team - Over Shirts,2250,3000,original,,,,"Accepted (laplacian=3275.95, contrast=83.49, area=0.648); source_category=Apparel & Accessories > Clothing > Clothing Tops > Overshirts"
CLO_053,CLO_053.jpg,dataset/originals/clothing/CLO_053.jpg,clothing,Shopify/product-catalogue,Cut Out Lace Back Hipster,Imported S.M.L.XL Youmita Cut Out Lace Back Hipster Gold Metallic Stud Detail Stretchy Lace Leg Band 85% Nylon / 15% Spandex Rhubarb BUL Cut Out Lace Back Hipster,800,1200,original,,,,"Accepted (laplacian=116.32, contrast=78.77, area=0.112); source_category=Apparel & Accessories > Clothing > Girls' Underwear > Girls' Underpants > Hipsters"
CLO_054,CLO_054.jpg,dataset/originals/clothing/CLO_054.jpg,clothing,Shopify/product-catalogue,Pull crop top de grossesse et d'allaitement Gaspard noir,"Le pull crop de grossesse et d'allaitement Gaspard sera la pièce de mode confort pour cet hiver. Parfait pour vous garder au chaud, il saura aussi vous apporter une douceur inégalée grâce à sa laine d’Alpaga. Fabriqué en Europe et conçu avec de l ’Alpaga superfine, une laine de grande qualité respectueuse de son environnement, Gaspard est un pull de maternité éco-responsable certifiée OEKO-TEX STANDARD 100.",1000,1233,original,,,,"Accepted (laplacian=102.68, contrast=81.81, area=0.854); source_category=Apparel & Accessories > Clothing > Maternity Clothing > Maternity Tops > Nursing Shirts"
CLO_055,CLO_055.jpg,dataset/originals/clothing/CLO_055.jpg,clothing,Shopify/product-catalogue,Capslab Dragon Ball Super Goku trucker Cap CL-DBS-1-ULT2,Capslab Dragon Ball Super Goku trucker Cap Features: Universal baseball cap. Slightly rounded brim Adjustable circumference Embroidered graphics on the front Manufacturer's logo unisex Color: brown,800,800,original,,,,"Accepted (laplacian=1386.53, contrast=100.72, area=0.681); source_category=Apparel & Accessories > Clothing Accessories > Hats > Trucker Hats"
CLO_056,CLO_056.jpg,dataset/originals/clothing/CLO_056.jpg,clothing,Shopify/product-catalogue,【中古】埼玉県 さいたま市立与野南中学校 女子制服 3点（ベスト・スカート）sf008580,ベスト 表記サイズ：M 肩幅：34 商品状態：使用感はあるが、ダメージは比較的目立たない 個数：2 スカート ウエスト：63 スカート丈：60 商品状態：使用感はあるが、ダメージは比較的目立たない 個数：1,1000,1000,original,,,,"Accepted (laplacian=98.43, contrast=91.50, area=0.329); source_category=Apparel & Accessories > Clothing > Uniforms > School Uniforms"
CLO_057,CLO_057.jpg,dataset/originals/clothing/CLO_057.jpg,clothing,Shopify/product-catalogue,Ice silk face protection cycling hood,"Outdoor Sunblock Ice Silk Cycling Mask Wind/dust/sand/Sun protection Effective face protection Suitable for sports, cycling, fishing and other outdoor activities It's time to travel. Pack your sun and dust protection essentials! FEATURES Good motorcycle riding partner ""full cover protection."" There are no dead ends. Breathable/light and breathable/Real ice silk cooling Lightweight fit and elasticity A great headpiece for riding a motorcycle is thin, light, elastic and more suitable for a motorcycle helmet. Helmet matching is available for all types of helmets half helmet, full helmet, electric helmet, electric helmet Separate eyeglass holes do not affect glasses Wearing myopia/riding glasses can be easily installed to meet the needs of different people SPECIFICATIONS Material: Ice Lycra fabric Color: Black,Hemp Gray,Fine Gray Package: 1 * Ice silk face protection cycling hood NOTE Please allow slight measurement deviations due to manual measurement. Due to the different monitor and light effect, the actual color of the item might be slightly different from the color showed in the pictures.",800,800,original,,,,"Accepted (laplacian=1012.77, contrast=68.63, area=0.304); source_category=Apparel & Accessories > Clothing Accessories > Balaclavas"
CLO_058,CLO_058.jpg,dataset/originals/clothing/CLO_058.jpg,clothing,Shopify/product-catalogue,Solidea Collant Venere 140 Denari Glace Taglia 4-l,"SOLIDEA COLLANT VENERE 140 DENARI COLORE GLACE' TAGLIA 4-L Formato Confezione da 1 paio. Collant 140 den, tutto nudo, a maglia liscia. Straordinariamente velato, morbido e confortevole. Offre un valido sostegno a gambe affaticate e pesanti, esaltandone fascino ed eleganza. La compressione graduata 18/21 mmHg aiuta la circolazione sanguigna evitando l’aggravarsi di problemi derivati da insufficienza venosa. Morbido elastico che non segna il punto vita, soffice plantare antistress al piede per una morbida base d’appoggio. Tassello igienico in cotone e cucitura piatta. Con trattamento antimicrobico. Composizione: 78% POLIAMMIDE 20% ELASTAN 2% COTONE [EAN: 8300496032731]",1000,1000,original,,,,"Accepted (laplacian=131.94, contrast=43.67, area=0.540); source_category=Apparel & Accessories > Clothing > Lingerie > Hosiery"
CLO_059,CLO_059.jpg,dataset/originals/clothing/CLO_059.jpg,clothing,Shopify/product-catalogue,Black/White Luxury Gingham Textured Weave Pocket Square,Product Details: A Luxury Microfibre Weave Pocket Square that looks and feels like Silk Perfect addition to complete the outfit Available in matching Neck Tie or Bow Tie Dimension 24cm x 24cm Read our guide on How to fold a Pocket Square Here Fabric and Care: 100% Microfibre Weave Dry Clean Only,2362,2362,original,,,,"Accepted (laplacian=113.57, contrast=107.15, area=0.153); source_category=Apparel & Accessories > Clothing Accessories > Handkerchiefs"
CLO_060,CLO_060.jpg,dataset/originals/clothing/CLO_060.jpg,clothing,Shopify/product-catalogue,Smocks & Lab Coats; Garment Style: Smock; Material: Carbon; Size: 5X-Large; Color: Burgundy; Sleeve Length: 24; Closure Type: Snaps; Chest Size: 58; Closure Locaton: Front; Chest Size (Inch): 58; Closure Location: Front,Item #: 20726469 Brand: Transforming Technologies Model #: JKV8829SPBG,1000,1000,original,,,,"Accepted (laplacian=140.70, contrast=56.95, area=0.109); source_category=Apparel & Accessories > Clothing > Uniforms & Workwear > White Coats"
POR_001,POR_001.jpg,dataset/originals/portable_electronics/POR_001.jpg,portable_electronics,bootstrap_existing_dataset,POR_001,POR_001,1000,1000,original,,,,Recovered from existing dataset files.
POR_002,POR_002.jpg,dataset/originals/portable_electronics/POR_002.jpg,portable_electronics,bootstrap_existing_dataset,POR_002,POR_002,800,800,original,,,,Recovered from existing dataset files.
POR_003,POR_003.jpg,dataset/originals/portable_electronics/POR_003.jpg,portable_electronics,bootstrap_existing_dataset,POR_003,POR_003,1200,1200,original,,,,Recovered from existing dataset files.
POR_004,POR_004.jpg,dataset/originals/portable_electronics/POR_004.jpg,portable_electronics,bootstrap_existing_dataset,POR_004,POR_004,1000,1000,original,,,,Recovered from existing dataset files.
POR_005,POR_005.jpg,dataset/originals/portable_electronics/POR_005.jpg,portable_electronics,bootstrap_existing_dataset,POR_005,POR_005,1000,1000,original,,,,Recovered from existing dataset files.
POR_006,POR_006.jpg,dataset/originals/portable_electronics/POR_006.jpg,portable_electronics,bootstrap_existing_dataset,POR_006,POR_006,1920,1440,original,,,,Recovered from existing dataset files.
POR_007,POR_007.jpg,dataset/originals/portable_electronics/POR_007.jpg,portable_electronics,bootstrap_existing_dataset,POR_007,POR_007,1000,1000,original,,,,Recovered from existing dataset files.
POR_008,POR_008.jpg,dataset/originals/portable_electronics/POR_008.jpg,portable_electronics,bootstrap_existing_dataset,POR_008,POR_008,1280,1152,original,,,,Recovered from existing dataset files.
POR_009,POR_009.jpg,dataset/originals/portable_electronics/POR_009.jpg,portable_electronics,bootstrap_existing_dataset,POR_009,POR_009,2560,1862,original,,,,Recovered from existing dataset files.
POR_010,POR_010.jpg,dataset/originals/portable_electronics/POR_010.jpg,portable_electronics,bootstrap_existing_dataset,POR_010,POR_010,1000,1000,original,,,,Recovered from existing dataset files.
POR_011,POR_011.jpg,dataset/originals/portable_electronics/POR_011.jpg,portable_electronics,bootstrap_existing_dataset,POR_011,POR_011,1600,1600,original,,,,Recovered from existing dataset files.
POR_012,POR_012.jpg,dataset/originals/portable_electronics/POR_012.jpg,portable_electronics,bootstrap_existing_dataset,POR_012,POR_012,1000,1000,original,,,,Recovered from existing dataset files.
POR_013,POR_013.jpg,dataset/originals/portable_electronics/POR_013.jpg,portable_electronics,bootstrap_existing_dataset,POR_013,POR_013,983,851,original,,,,Recovered from existing dataset files.
POR_014,POR_014.jpg,dataset/originals/portable_electronics/POR_014.jpg,portable_electronics,bootstrap_existing_dataset,POR_014,POR_014,1000,1000,original,,,,Recovered from existing dataset files.
POR_015,POR_015.jpg,dataset/originals/portable_electronics/POR_015.jpg,portable_electronics,bootstrap_existing_dataset,POR_015,POR_015,1000,1000,original,,,,Recovered from existing dataset files.
POR_016,POR_016.jpg,dataset/originals/portable_electronics/POR_016.jpg,portable_electronics,bootstrap_existing_dataset,POR_016,POR_016,1000,806,original,,,,Recovered from existing dataset files.
POR_017,POR_017.jpg,dataset/originals/portable_electronics/POR_017.jpg,portable_electronics,bootstrap_existing_dataset,POR_017,POR_017,1512,2016,original,,,,Recovered from existing dataset files.
POR_018,POR_018.jpg,dataset/originals/portable_electronics/POR_018.jpg,portable_electronics,bootstrap_existing_dataset,POR_018,POR_018,1080,1080,original,,,,Recovered from existing dataset files.
POR_019,POR_019.jpg,dataset/originals/portable_electronics/POR_019.jpg,portable_electronics,bootstrap_existing_dataset,POR_019,POR_019,2500,2500,original,,,,Recovered from existing dataset files.
POR_020,POR_020.jpg,dataset/originals/portable_electronics/POR_020.jpg,portable_electronics,bootstrap_existing_dataset,POR_020,POR_020,800,800,original,,,,Recovered from existing dataset files.
POR_021,POR_021.jpg,dataset/originals/portable_electronics/POR_021.jpg,portable_electronics,bootstrap_existing_dataset,POR_021,POR_021,800,800,original,,,,Recovered from existing dataset files.
POR_022,POR_022.jpg,dataset/originals/portable_electronics/POR_022.jpg,portable_electronics,bootstrap_existing_dataset,POR_022,POR_022,2000,1337,original,,,,Recovered from existing dataset files.
POR_023,POR_023.jpg,dataset/originals/portable_electronics/POR_023.jpg,portable_electronics,bootstrap_existing_dataset,POR_023,POR_023,2550,3300,original,,,,Recovered from existing dataset files.
POR_024,POR_024.jpg,dataset/originals/portable_electronics/POR_024.jpg,portable_electronics,bootstrap_existing_dataset,POR_024,POR_024,800,800,original,,,,Recovered from existing dataset files.
POR_025,POR_025.jpg,dataset/originals/portable_electronics/POR_025.jpg,portable_electronics,bootstrap_existing_dataset,POR_025,POR_025,1600,1600,original,,,,Recovered from existing dataset files.
POR_026,POR_026.jpg,dataset/originals/portable_electronics/POR_026.jpg,portable_electronics,bootstrap_existing_dataset,POR_026,POR_026,3600,3239,original,,,,Recovered from existing dataset files.
POR_027,POR_027.jpg,dataset/originals/portable_electronics/POR_027.jpg,portable_electronics,bootstrap_existing_dataset,POR_027,POR_027,1525,1600,original,,,,Recovered from existing dataset files.
POR_028,POR_028.jpg,dataset/originals/portable_electronics/POR_028.jpg,portable_electronics,Shopify/product-catalogue,3pcs LM317 DC-DC Converter Buck Step Down Module Linear Regulator Adjustable Voltage Regulator Power Supply Board,"Feature: Output Current: 1.5A (minimum), 2.2A (typ) Input and output voltage difference (VI-VO): 40Vdc (max) Adjustable output voltage range: 1.2 ~ 37V Operating temperature: -55 to +150 Output Current: 1.5A Input voltage: 4.2 ~ 40 V Characteristics Frequency: 100 (MHz) Module size: 35.6 (mm) x16.8 (mm) Input: VIN positive input stage, GND negative input Output: VOUT output positive level, GND output negative Maximum output current: maximum output current = 3 / (Input voltage - output voltage) Applications: Mobile phone, MP3, MP4, PSP and much other charging equipment Package includes: 3 x Adjustable Linear Regulator",1000,1000,original,,,,"Accepted (laplacian=423.94, contrast=73.76, area=0.148); source_category=Electronics > Circuit Boards & Components"
POR_029,POR_029.jpg,dataset/originals/portable_electronics/POR_029.jpg,portable_electronics,Shopify/product-catalogue,Mobiltelefon reflektionskamera,"FUNKTIONER [Hållbar] Satsen är tillverkad av legering och har en stabil struktur samtidigt som den är lätt och hållbar. Spegeln är tillverkad av högkvalitativt glas och är skakfri med en vanlig dämpningsdesign. [Öka kapaciteten för bakre kameran] Den är lämplig för vloggers, bloggare, videografer och fotografer som vill ha maximal prestanda på sociala medier som YouTube, Facebook, TikTok, eller om du bara vill ha bra kvalitet på video som fångats av din mest briljanta kameramobil. SPECIFIKATIONER Färg: Svart, Vit Vikt: 100g Paketet innehåller: 1 * mobiltelefon reflektionskamera + 1 * organisatör + 1 * dammfri trasa OBS Vänligen tillåt en liten storleksskillnad på grund av manuell mätning. På grund av olika skärm och ljuseffekter kan den faktiska färgen på föremålet skilja sig något från färgen som visas på bilderna.",800,800,original,,,,"Accepted (laplacian=1860.00, contrast=50.70, area=0.389); source_category=Electronics > Communications > Telephony > Mobile & Smart Phone Accessories > Mobile Phone Camera Accessories > Remote Shutters"
POR_030,POR_030.jpg,dataset/originals/portable_electronics/POR_030.jpg,portable_electronics,Shopify/product-catalogue,FUJIFILM FT-XH File Transmitter Grip,"FUJIFILM FT-XH File Transmitter Grip The FT-XH File Transmitter Grip vastly improves the networking capabilities of the camera. It has fast Wi-Fi connectivity, with speeds up to 600 Mb/s, along with wired LAN connectivity for in-studio tethered shooting. Remote recording by wired LAN or wireless LAN; capable of controlling up to four X-H2S cameras from a browser at the same time The file transmitter also brings the usual benefits of a battery grip, such as shooting in the vertical orientation and being able to accept two additional NP-W235 rechargeable lithium-ion batteries to increase shooting capacity. In terms of its physical design, the extended shape incorporates a secondary shutter release button as well as a focus lever, AE-L button, AF-ON button, front and rear command dials, and Q button to mimic the camera's own layout for intuitive handling. The file transmitter also brings the usual benefits of a battery grip, such as shooting in the vertical orientation and being able to accept two additional NP-W235 rechargeable lithium-ion batteries to increase shooting capacity This file transmitter features wired LAN connectivity and high-speed wireless communications capability, essential for in-studio tethered shooting or sports/media shooting When used with the X-H2 or X-H2S, it allows FTP transfer, tethered shooting, and remote recording Specifications: Transfer Speeds Up to 600 Mb/s Holds 2 x NP-W235 Batteries Extended Grip for Vertical Composition Compatible with X-H2S and X-H2 Camera Attachment: 1/4 - 20 Male",1200,1200,original,,,,"Accepted (laplacian=268.28, contrast=102.46, area=0.679); source_category=Cameras & Optics > Camera & Optic Accessories > Camera Parts & Accessories > Camera Grips > Battery Grips"
POR_031,POR_031.jpg,dataset/originals/portable_electronics/POR_031.jpg,portable_electronics,Shopify/product-catalogue,Energizer Lithium Battery L91,"High power-efficient high-tech digital equipment lithium batteries! lithium battery specifications: aa voltage: 1.5 V features: 2900mah up to seven times longer than energizer max use until the end of its life, maintain a constant output, digital high-tech devices that require high power efficiency, shoot digital cameras: up to 600 sheets, 33% lighter weight than ordinary alkaline batteries, operating temperature 0 ~ 60 shelf life: 15 years",1000,1000,original,,,,"Accepted (laplacian=979.72, contrast=69.99, area=0.145); source_category=Electronics > Electronics Accessories > Power > Batteries"
